,Day,DayOfWeek,Rate,NextDay,PrevDay,PriceNextDay,PricePrevDay,PriceDifference,RateDifference
0,2022-11-02,2,3.875,2022-11-03,2022-11-01,96.21499633789062,96.21499633789062,0.0,0.75
1,2022-09-21,2,3.125,2022-09-22,2022-09-20,97.44249725341797,97.43250274658203,0.0099945068359375,0.75
2,2022-07-27,2,2.375,2022-07-28,2022-07-26,98.32499694824219,98.31749725341797,0.00749969482421875,0.75
3,2022-06-15,2,1.625,2022-06-16,2022-06-14,98.7925033569336,98.80999755859375,-0.01749420166015625,0.75
4,2022-05-04,2,0.875,2022-05-05,2022-05-03,99.2300033569336,99.21749877929688,0.01250457763671875,0.5
5,2022-03-16,2,0.375,2022-03-17,2022-03-15,99.80000305175781,99.78500366210938,0.0149993896484375,0.25
6,2020-11-05,3,0.125,2020-11-06,2020-11-04,99.91000366210938,99.91000366210938,0.0,0.0
7,2020-09-16,2,0.125,2020-09-17,2020-09-15,99.90750122070312,99.90750122070312,0.0,0.0
8,2020-08-27,3,0.125,2020-08-28,2020-08-26,99.90499877929688,99.90249633789062,0.00250244140625,0.0
9,2020-07-29,2,0.125,2020-07-30,2020-07-28,99.90750122070312,99.90750122070312,0.0,0.0
10,2020-06-10,2,0.125,2020-06-11,2020-06-09,99.92500305175781,99.92250061035156,0.00250244140625,0.0
11,2020-04-29,2,0.125,2020-04-30,2020-04-28,99.94999694824219,99.94750213623047,0.00249481201171875,0.0
12,2020-03-31,1,0.125,2020-04-01,2020-03-30,99.93000030517578,99.34750366210938,0.5824966430664062,0.0
13,2020-03-23,0,0.125,2020-03-24,2020-03-20,99.33999633789062,99.32499694824219,0.0149993896484375,0.0
14,2020-03-19,3,0.125,2020-03-20,2020-03-18,99.32499694824219,99.30500030517578,0.01999664306640625,0.0
15,2020-03-15,6,0.125,2020-03-16,2020-03-13,99.34500122070312,99.27999877929688,0.06500244140625,-1.0
16,2020-03-03,1,1.125,2020-03-04,2020-03-02,98.97250366210938,98.71499633789062,0.25750732421875,-0.5
17,2019-10-30,2,1.625,2019-10-31,2019-10-29,98.1675033569336,98.1675033569336,0.0,-0.25
18,2019-09-18,2,1.875,2019-09-19,2019-09-17,97.94499969482422,97.92500305175781,0.01999664306640625,-0.25
19,2019-07-31,2,2.125,2019-08-01,2019-07-30,97.84750366210938,97.59500122070312,0.25250244140625,-0.25
20,2018-12-19,2,2.375,2018-12-20,2018-12-18,97.72250366210938,97.73500061035156,-0.0124969482421875,0.25
21,2018-09-26,2,2.125,2018-09-27,2018-09-25,98.0425033569336,98.04499816894531,-0.00249481201171875,0.25
22,2018-06-13,2,1.875,2018-06-14,2018-06-12,98.18000030517578,98.17749786376953,0.00250244140625,0.25
23,2018-03-21,2,1.625,2018-03-22,2018-03-20,98.49749755859375,98.5,-0.00250244140625,0.25
24,2017-12-13,2,1.375,2017-12-14,2017-12-12,98.69999694824219,98.7074966430664,-0.00749969482421875,0.25
25,2017-06-14,2,1.125,2017-06-15,2017-06-13,98.95999908447266,98.96749877929688,-0.00749969482421875,0.25
26,2017-03-15,2,0.875,2017-03-16,2017-03-14,99.21499633789062,99.21749877929688,-0.00250244140625,0.25
27,2016-12-14,2,0.625,2016-12-15,2016-12-13,99.46499633789062,99.46499633789062,0.0,0.25
28,2015-12-16,2,0.375,2015-12-17,2015-12-15,99.76249694824219,99.77749633789062,-0.0149993896484375,0.25
29,2011-06-22,2,0.125,2011-06-23,2011-06-21,99.90249633789062,99.9000015258789,0.00249481201171875,0.0
30,2008-12-16,1,0.125,2008-12-17,2008-12-15,99.81749725341797,99.7750015258789,0.0424957275390625,-0.875
31,2008-10-29,2,1.0,2008-10-30,2008-10-28,99.01750183105469,98.96499633789062,0.0525054931640625,-0.5
32,2008-10-08,2,1.5,2008-10-09,2008-10-07,98.53500366210938,98.3949966430664,0.14000701904296875,-0.5
33,2008-04-30,2,2.0,2008-05-01,2008-04-29,98.00499725341797,97.73999786376953,0.2649993896484375,-0.25
34,2008-03-18,1,2.25,2008-03-19,2008-03-17,97.40499877929688,97.46499633789062,-0.05999755859375,-0.75
35,2008-03-16,6,3.0,2008-03-17,2008-03-14,97.46499633789062,97.41500091552734,0.04999542236328125,0.0
36,2008-01-30,2,3.0,2008-01-31,2008-01-29,96.06500244140625,96.06999969482422,-0.00499725341796875,-0.5
37,2008-01-22,1,3.5,2008-01-23,2008-01-21,96.09500122070312,0.0,96.09500122070312,-0.75
38,2007-12-11,1,4.25,2007-12-12,2007-12-10,95.73500061035156,95.74500274658203,-0.01000213623046875,-0.25
39,2007-10-31,2,4.5,2007-11-01,2007-10-30,95.51499938964844,95.25,0.2649993896484375,-0.25
40,2007-09-18,1,4.75,2007-09-19,2007-09-17,95.06999969482422,95.01000213623047,0.05999755859375,-0.5
41,2007-08-17,4,5.25,2007-08-20,2007-08-16,94.98999786376953,95.04000091552734,-0.0500030517578125,0.0
42,2007-08-07,1,5.25,2007-08-08,2007-08-06,94.75499725341797,94.7750015258789,-0.0200042724609375,0.0
43,2007-06-28,3,5.25,2007-06-29,2007-06-27,94.75,94.75,0.0,0.0
44,2007-05-09,2,5.25,2007-05-10,2007-05-08,94.75499725341797,94.75499725341797,0.0,0.0
45,2007-03-21,2,5.25,2007-03-22,2007-03-20,94.74500274658203,94.75,-0.00499725341796875,0.0
46,2007-01-31,2,5.25,2007-02-01,2007-01-30,94.75499725341797,94.75499725341797,0.0,0.0
47,2006-12-12,1,5.25,2006-12-13,2006-12-11,94.76499938964844,94.76499938964844,0.0,0.0
48,2006-10-25,2,5.25,2006-10-26,2006-10-24,94.75,94.75,0.0,0.0
49,2006-09-20,2,5.25,2006-09-21,2006-09-19,94.75499725341797,94.75,0.00499725341796875,0.0
50,2006-08-08,1,5.25,2006-08-09,2006-08-07,94.74500274658203,94.70999908447266,0.035003662109375,0.0
51,2006-06-29,3,5.25,2006-06-30,2006-06-28,94.99500274658203,94.98999786376953,0.0050048828125,0.25
52,2006-05-10,2,5.0,2006-05-11,2006-05-09,95.04499816894531,95.04000091552734,0.00499725341796875,0.25
53,2006-03-28,1,4.75,2006-03-29,2006-03-27,95.41500091552734,95.41500091552734,0.0,0.25
54,2006-01-31,1,4.5,2006-02-01,2006-01-30,95.5,95.72000122070312,-0.220001220703125,0.25
55,2005-12-13,1,4.25,2005-12-14,2005-12-12,95.83999633789062,95.83999633789062,0.0,0.25
56,2005-11-01,1,4.0,2005-11-02,2005-10-31,95.99500274658203,96.2249984741211,-0.2299957275390625,0.25
57,2005-09-20,1,3.75,2005-09-21,2005-09-19,96.38999938964844,96.3949966430664,-0.00499725341796875,0.25
58,2005-08-09,1,3.5,2005-08-10,2005-08-08,96.53500366210938,96.53500366210938,0.0,0.25
59,2005-06-30,3,3.25,2005-07-01,2005-06-29,96.73999786376953,96.96499633789062,-0.22499847412109375,0.25
60,2005-05-03,1,3.0,2005-05-04,2005-05-02,97.0,97.0,0.0,0.25
61,2005-03-22,1,2.75,2005-03-23,2005-03-21,97.38500213623047,97.38500213623047,0.0,0.25
62,2005-02-02,2,2.5,2005-02-03,2005-02-01,97.50499725341797,97.5,0.00499725341796875,0.25
63,2004-12-14,1,2.25,2004-12-15,2004-12-13,97.8499984741211,97.8550033569336,-0.0050048828125,0.25
64,2004-11-10,2,2.0,2004-11-11,2004-11-09,98.07499694824219,98.07499694824219,0.0,0.25
65,2004-09-21,1,1.75,2004-09-22,2004-09-20,98.41000366210938,98.41500091552734,-0.00499725341796875,0.25
66,2004-08-10,1,1.5,2004-08-11,2004-08-09,98.56500244140625,98.58000183105469,-0.0149993896484375,0.25
67,2004-06-30,2,1.25,2004-07-01,2004-06-29,98.73999786376953,98.9800033569336,-0.2400054931640625,0.25
68,2004-05-04,1,1.0,2004-05-05,2004-05-03,98.98999786376953,98.9800033569336,0.0099945068359375,0.0
69,2004-03-16,1,1.0,2004-03-17,2004-03-15,98.99500274658203,98.99500274658203,0.0,0.0
70,2004-01-28,2,1.0,2004-01-29,2004-01-27,99.00499725341797,99.00499725341797,0.0,0.0
71,2003-12-09,1,1.0,2003-12-10,2003-12-08,98.99500274658203,98.99500274658203,0.0,0.0
72,2003-10-28,1,1.0,2003-10-29,2003-10-27,98.98500061035156,98.98999786376953,-0.00499725341796875,0.0
73,2003-09-16,1,1.0,2003-09-17,2003-09-15,98.99500274658203,98.99500274658203,0.0,0.0
74,2003-08-12,1,1.0,2003-08-13,2003-08-11,99.0,99.0,0.0,0.0
75,2003-06-25,2,1.0,2003-06-26,2003-06-24,98.79000091552734,98.81999969482422,-0.029998779296875,-0.25
76,2003-05-06,1,1.25,2003-05-07,2003-05-05,98.75499725341797,98.79000091552734,-0.035003662109375,0.0
77,2003-03-18,1,1.25,2003-03-19,2003-03-17,0.0,98.7699966430664,-98.7699966430664,0.0
78,2003-01-29,2,1.25,2003-01-30,2003-01-28,0.0,98.76499938964844,-98.76499938964844,0.0
79,2003-01-09,3,1.25,2003-01-10,2003-01-08,98.76499938964844,98.76000213623047,0.00499725341796875,0.0
80,2002-12-10,1,1.25,2002-12-11,2002-12-09,98.7699966430664,98.76499938964844,0.00499725341796875,0.0
81,2002-11-06,2,1.25,2002-11-07,2002-11-05,98.63999938964844,98.4800033569336,0.15999603271484375,-0.5
82,2002-09-24,1,1.75,2002-09-25,2002-09-23,98.25,98.26499938964844,-0.0149993896484375,0.0
83,2002-08-13,1,1.75,2002-08-14,2002-08-12,98.2699966430664,98.29000091552734,-0.0200042724609375,0.0
84,2002-06-26,2,1.75,2002-06-27,2002-06-25,98.23999786376953,98.23500061035156,0.00499725341796875,0.0
85,2002-05-07,1,1.75,2002-05-08,2002-05-06,98.25,98.24500274658203,0.00499725341796875,0.0
86,2002-03-19,1,1.75,2002-03-20,2002-03-18,98.23500061035156,98.2300033569336,0.00499725341796875,0.0
87,2002-01-30,2,1.75,2002-01-31,2002-01-29,98.2699966430664,98.2750015258789,-0.0050048828125,0.0
88,2001-12-11,1,1.75,2001-12-12,2001-12-10,98.19499969482422,98.19499969482422,0.0,-0.25
89,2001-11-06,1,2.0,2001-11-07,2001-11-05,97.91500091552734,97.83499908447266,0.0800018310546875,-0.5
90,2001-10-02,1,2.5,2001-10-03,2001-10-01,97.51499938964844,97.43000030517578,0.08499908447265625,-0.5
91,2001-09-17,0,3.0,2001-09-18,2001-09-14,96.8550033569336,96.6500015258789,0.2050018310546875,-0.5
92,2001-08-21,1,3.5,2001-08-22,2001-08-20,96.3550033569336,96.36499786376953,-0.0099945068359375,-0.25
93,2001-06-27,2,3.75,2001-06-28,2001-06-26,96.26000213623047,96.38999938964844,-0.12999725341796875,-0.25
94,2001-05-15,1,4.0,2001-05-16,2001-05-14,95.78500366210938,95.73999786376953,0.04500579833984375,-0.5
95,2001-04-18,2,4.5,2001-04-19,2001-04-17,95.18499755859375,95.01499938964844,0.1699981689453125,-0.5
96,2001-03-20,1,5.0,2001-03-21,2001-03-19,94.71499633789062,94.73500061035156,-0.0200042724609375,-0.5
97,2001-01-31,2,5.5,2001-02-01,2001-01-30,94.54000091552734,94.0199966430664,0.5200042724609375,-0.5
98,2001-01-03,2,6.0,2001-01-04,2001-01-02,93.98999786376953,93.55000305175781,0.43999481201171875,-0.5
99,2000-12-19,1,6.5,2000-12-20,2000-12-18,93.5199966430664,93.54499816894531,-0.02500152587890625,0.0
100,2000-11-15,2,6.5,2000-11-16,2000-11-14,93.48500061035156,93.48500061035156,0.0,0.0
101,2000-10-03,1,6.5,2000-10-04,2000-10-02,93.50499725341797,93.50499725341797,0.0,0.0
102,2000-08-22,1,6.5,2000-08-23,2000-08-21,0.0,0.0,0.0,0.0
103,2000-06-28,2,6.5,2000-06-29,2000-06-27,0.0,0.0,0.0,0.0
104,2000-05-16,1,6.5,2000-05-17,2000-05-15,0.0,0.0,0.0,0.5
105,2000-03-21,1,6.0,2000-03-22,2000-03-20,0.0,0.0,0.0,0.25
106,2000-02-02,2,5.75,2000-02-03,2000-02-01,0.0,0.0,0.0,
